Agency,2020,2021,2022,2023,2024,2025
AB,,2635.0,,11579430.0,1253451.0,2382017.0
BC,,,150280.0,5204650.0,455156.0,612151.0
Canada,230123.0,369517.0,541267.0,71402422.0,4369061.0,29563388.0
MB,37707.0,208563.0,3896.0,8392131.0,580365.0,5887553.0
NB,540.0,,,40694.0,,93424.0
NL,,,,1036226.0,15132.0,892962.0
NS,152.0,,185.0,162514.0,,85253.0
NT,,13628.0,152855.0,10664078.0,417529.0,2108326.0
NU,,,,4868990.0,61069.0,3394458.0
ON,146376.0,101812.0,,11475960.0,647260.0,6238744.0
PE,,,,13645.0,,7689.0
QC,,22722.0,45104.0,8359443.0,88383.0,4156910.0
SK,38242.0,20157.0,6092.0,9421965.0,844923.0,3393505.0
YT,7106.0,,182855.0,182696.0,5793.0,310396.0
